"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"      DATE    DECIMAL_YEAR
   2.83187462572E+03   2.83100000000E+03       04N01E04N01S    1952-07-17    1952.54098361
   2.83290333352E+03   2.82704000000E+03       04N01E04N01S    1954-04-03    1954.25205479
   2.82984042459E+03   2.82201000000E+03       04N01E04N01S    1954-11-18    1954.87945205
   2.83238268802E+03   2.82900000000E+03       04N01E05G02S    1946-12-01    1946.91506849
   2.83537239296E+03   2.82350000000E+03       04N01E05G02S    1947-04-28    1947.32054795
   2.83358554667E+03   2.82500000000E+03       04N01E05G02S    1947-06-01    1947.41369863
   2.81655886109E+03   2.82600000000E+03       04N01E06H01S    1952-06-01    1952.41530055
   2.81507939360E+03   2.79500000000E+03       04N01E06H01S    1953-06-01    1953.41369863
   2.81679777080E+03   2.79103000000E+03       04N01E06H01S    1954-04-21    1954.30136986
   2.81654409097E+03   2.80966000000E+03       04N01E06H01S    1954-04-22    1954.30410959
   2.81193365217E+03   2.80799000000E+03       04N01E06H01S    1954-11-16    1954.87397260
   2.78226741942E+03   2.76630000000E+03       04N01E06H01S    1970-11-13    1970.86575342
   2.79858463474E+03   2.77402000000E+03       04N01E06H01S    1971-03-24    1971.22465753
   2.82724965847E+03   2.82400000000E+03       04N01E06N02S    1952-04-15    1952.28688525
   2.82267375783E+03   2.81598000000E+03       04N01E06N02S    1954-04-06    1954.26027397
   2.82230290721E+03   2.82226000000E+03       04N01E07C01S    1954-11-22    1954.89041096
   2.82208294541E+03   2.80945000000E+03       04N01E07D01S    1954-04-06    1954.26027397
   2.82527027083E+03   2.83356000000E+03       04N01E07K01S    1954-11-22    1954.89041096
   2.82995521357E+03   2.84323000000E+03       04N01E07P02S    1954-03-17    1954.20547945
   2.82974431880E+03   2.84800000000E+03       04N01E07P03S    1954-03-17    1954.20547945
   2.84506626635E+03   2.84600000000E+03       04N01E08P03S    1952-05-23    1952.39071038
   2.84311598228E+03   2.84188000000E+03       04N01E08P03S    1954-04-03    1954.25205479
   2.84241083987E+03   2.84060000000E+03       04N01E08P03S    1954-11-18    1954.87945205
   2.84204682935E+03   2.84040000000E+03       04N01E08P03S    1955-03-14    1955.19726027
   2.74272893746E+03   2.74780000000E+03       04N01E09C01S    2008-02-19    2008.13387978
   2.74245993797E+03   2.74768000000E+03       04N01E09C01S    2010-03-10    2010.18630137
   2.74281733681E+03   2.74804000000E+03       04N01E09C01S    2012-03-27    2012.23497268
   2.74318401825E+03   2.74757000000E+03       04N01E09C01S    2012-11-08    2012.85245902
   2.74352006494E+03   2.74756000000E+03       04N01E09C01S    2013-04-02    2013.24931507
   2.74297634524E+03   2.74583000000E+03       04N01E09C01S    2013-11-05    2013.84383562
   2.74330529525E+03   2.74825000000E+03       04N01E09C01S    2014-03-07    2014.17808219
   2.74334965505E+03   2.74566000000E+03       04N01E09C01S    2014-03-24    2014.22465753
   2.74208510151E+03   2.74247000000E+03       04N01E09C01S    2015-10-05    2015.75890411
   2.74274121604E+03   2.74836000000E+03       04N01E09C01S    2016-03-08    2016.18306011
   2.74203241848E+03   2.74514000000E+03       04N01E09C01S    2016-11-09    2016.85519126
   2.73032296996E+03   2.73872000000E+03       04N01E09D04S    1994-10-07    1994.76438356
   2.73323852808E+03   2.75012000000E+03       04N01E09D04S    1996-04-15    1996.28688525
   2.73157759617E+03   2.74875000000E+03       04N01E09D04S    1998-03-10    1998.18630137
   2.73256552871E+03   2.74852000000E+03       04N01E09D04S    2000-03-08    2000.18306011
   2.73407895549E+03   2.74333000000E+03       04N01E09D04S    2002-03-13    2002.19452055
   2.73695442011E+03   2.74892000000E+03       04N01E09D04S    2004-03-04    2004.17213115
   2.73388480345E+03   2.74816000000E+03       04N01E09D04S    2006-04-11    2006.27397260
   2.73330984758E+03   2.73946000000E+03       04N01E09D04S    2008-04-17    2008.29234973
   2.73321082809E+03   2.73936000000E+03       04N01E09D04S    2008-05-02    2008.33333333
   2.73316658753E+03   2.74683000000E+03       04N01E09D04S    2010-03-10    2010.18630137
   2.73378958794E+03   2.74707000000E+03       04N01E09D04S    2012-03-27    2012.23497268
   2.73432120475E+03   2.74026000000E+03       04N01E09D04S    2012-11-08    2012.85245902
   2.73414417455E+03   2.74147000000E+03       04N01E09D04S    2013-11-05    2013.84383562
   2.73460216282E+03   2.74731000000E+03       04N01E09D04S    2014-03-07    2014.17808219
   2.73365808748E+03   2.73890000000E+03       04N01E09D04S    2014-09-23    2014.72602740
   2.73490503167E+03   2.74723000000E+03       04N01E09D04S    2015-03-11    2015.18904110
   2.73307070623E+03   2.74128000000E+03       04N01E09D04S    2015-10-05    2015.75890411
   2.73401074644E+03   2.74747000000E+03       04N01E09D04S    2016-03-08    2016.18306011
   2.73313823094E+03   2.74414000000E+03       04N01E09D04S    2016-11-09    2016.85519126
   2.83128960416E+03   2.82100000000E+03       04N01E09N01S    1953-11-01    1953.83287671
   2.83692744650E+03   2.82591000000E+03       04N01E09N01S    1954-03-19    1954.21095890
   2.83017440446E+03   2.82350000000E+03       04N01E09N01S    1954-11-18    1954.87945205
   2.83397307984E+03   2.84373000000E+03       04N01E12R01S    1994-06-30    1994.49315068
   2.81912676788E+03   2.84296000000E+03       04N01E13E01S    1994-07-22    1994.55342466
   2.81805301765E+03   2.85142000000E+03       04N01E13E01S    1996-05-24    1996.39344262
   2.81894072169E+03   2.82118000000E+03       04N01E13E01S    1998-06-25    1998.47945205
   2.88257435019E+03   2.86140000000E+03       04N01E14Q01S    1992-11-17    1992.87704918
   2.89633967931E+03   2.86384000000E+03       04N01E14Q01S    1993-11-16    1993.87397260
   2.89848961667E+03   2.87255000000E+03       04N01E14Q01S    1995-11-20    1995.88493151
   2.89842401955E+03   2.87270000000E+03       04N01E14Q01S    1996-04-16    1996.28961749
   2.89659304559E+03   2.87310000000E+03       04N01E14Q01S    1996-11-27    1996.90437158
   2.89586232222E+03   2.87547000000E+03       04N01E14Q01S    1997-03-24    1997.22465753
   2.89574255885E+03   2.87350000000E+03       04N01E14Q01S    1997-04-29    1997.32328767
   2.89557125622E+03   2.87330000000E+03       04N01E14Q01S    1997-05-27    1997.40000000
   2.89396835366E+03   2.87240000000E+03       04N01E14Q01S    1997-11-18    1997.87945205
   2.85916041077E+03   2.87097000000E+03       04N01E15R01S    1994-08-29    1994.65753425
   2.86075531959E+03   2.87050000000E+03       04N01E15R01S    1996-04-16    1996.28961749
   2.85644412215E+03   2.87897000000E+03       04N01E15R01S    1998-02-06    1998.09863014
   2.85787071940E+03   2.88590000000E+03       04N01E15R01S    2000-03-08    2000.18306011
   2.85496018671E+03   2.88191000000E+03       04N01E15R01S    2002-03-12    2002.19178082
   2.85250438861E+03   2.87440000000E+03       04N01E15R01S    2004-03-04    2004.17213115
   2.85996798351E+03   2.87844000000E+03       04N01E15R01S    2006-04-11    2006.27397260
   2.86128305246E+03   2.88757000000E+03       04N01E15R01S    2008-04-17    2008.29234973
   2.86166665108E+03   2.88370000000E+03       04N01E15R01S    2010-03-10    2010.18630137
   2.86663135875E+03   2.88540000000E+03       04N01E15R01S    2012-03-27    2012.23497268
   2.86024436930E+03   2.87675000000E+03       04N01E15R01S    2014-03-07    2014.17808219
   2.84316619417E+03   2.88172000000E+03       04N01E16N01S    2004-09-13    2004.69945355
   2.84314008897E+03   2.88172000000E+03       04N01E16N01S    2004-10-01    2004.74863388
   2.84309436514E+03   2.88179000000E+03       04N01E16N01S    2004-11-01    2004.83333333
   2.84302816945E+03   2.88163000000E+03       04N01E16N01S    2004-12-15    2004.95355191
   2.84296028530E+03   2.88161000000E+03       04N01E16N01S    2005-02-03    2005.09041096
   2.84291496304E+03   2.88167000000E+03       04N01E16N01S    2005-03-02    2005.16438356
   2.84271764471E+03   2.88153000000E+03       04N01E16N01S    2005-06-06    2005.42739726
   2.84262219152E+03   2.88142000000E+03       04N01E16N01S    2005-07-19    2005.54520548
   2.84257542782E+03   2.88156000000E+03       04N01E16N01S    2005-08-09    2005.60273973
   2.84250933208E+03   2.88142000000E+03       04N01E16N01S    2005-09-08    2005.68493151
   2.84244398747E+03   2.88129000000E+03       04N01E16N01S    2005-10-10    2005.77260274
   2.84237712547E+03   2.88121000000E+03       04N01E16N01S    2005-11-16    2005.87397260
   2.84234280338E+03   2.88139000000E+03       04N01E16N01S    2005-12-05    2005.92602740
   2.84227572785E+03   2.88115000000E+03       04N01E16N01S    2006-01-09    2006.02191781
   2.84221915226E+03   2.88112000000E+03       04N01E16N01S    2006-02-03    2006.09041096
   2.84215556574E+03   2.88113000000E+03       04N01E16N01S    2006-03-07    2006.17808219
   2.84210587804E+03   2.88107000000E+03       04N01E16N01S    2006-04-03    2006.25205479
   2.84199383818E+03   2.88101000000E+03       04N01E16N01S    2006-06-01    2006.41369863
   2.84192264141E+03   2.88097000000E+03       04N01E16N01S    2006-07-05    2006.50684932
   2.84185951271E+03   2.88094000000E+03       04N01E16N01S    2006-08-03    2006.58630137
   2.84178788798E+03   2.88082000000E+03       04N01E16N01S    2006-09-05    2006.67671233
   2.84170677672E+03   2.88075000000E+03       04N01E16N01S    2006-10-16    2006.78904110
   2.84162059135E+03   2.88078000000E+03       04N01E16N01S    2006-12-04    2006.92328767
   2.84156823713E+03   2.88082000000E+03       04N01E16N01S    2007-01-02    2007.00273973
   2.84148983534E+03   2.88076000000E+03       04N01E16N01S    2007-02-08    2007.10410959
   2.84143933920E+03   2.88074000000E+03       04N01E16N01S    2007-03-07    2007.17808219
   2.84139140903E+03   2.88069000000E+03       04N01E16N01S    2007-04-03    2007.25205479
